,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
63,Caron Butler,LAL,25,77,32,45,35.6,15.5,5.7,12.9,44.5,0.5,1.6,30.4,3.6,4.1,86.2,1.9,3.9,5.8,1.9,1.6,1.4,0.3,2.8,28.9,10,0,-3.1
64,Wally Szczerbiak,MIN,28,81,44,37,31.7,15.5,5.7,11.3,50.6,0.8,2.1,37.3,3.2,3.8,85.5,1,2.7,3.7,2.4,1.6,0.5,0.2,2.2,23.9,0,0,1.4
65,Jamaal Tinsley,IND,27,40,22,18,32.5,15.4,5.5,13.1,41.8,1.5,3.9,37.2,3.1,4.1,74.4,0.7,3.4,4,6.4,3.4,2,0.3,2.8,33.5,4,0,2.6
66,Troy Murphy,GSW,25,70,30,40,34,15.4,5.6,13.5,41.4,0.8,2.1,39.9,3.3,4.6,73,3.6,7.2,10.8,1.4,1.5,0.8,0.5,2.7,32.6,34,0,-2.8
67,Lamar Odom,LAL,25,64,31,33,36.2,15.2,5.7,12.1,47.3,0.6,1.8,30.8,3.2,4.7,69.5,2.1,8.1,10.2,3.7,2.5,0.7,1,3.3,35.6,33,0,-1.6
68,Emeka Okafor,CHA,22,73,16,57,35.6,15.1,6.1,13.7,44.7,0,0,0,2.9,4.7,60.9,3.8,7.1,10.9,0.9,1.7,0.8,1.7,2.9,35.5,47,0,-4.7
69,Ben Gordon,CHI,22,82,47,35,24.6,15.1,5.3,12.9,41.1,1.6,4,40.5,2.8,3.3,86.3,0.7,2,2.6,2,2.3,0.6,0.1,2.7,21.2,0,0,1.8
70,Quentin Richardson,PHX,25,79,59,20,36,14.9,5.2,13.2,38.9,2.9,8,35.8,1.7,2.3,73.9,1.2,4.9,6.1,2,1.3,1.2,0.3,2.5,28.5,8,0,6.5
71,Jerry Stackhouse,DAL,30,56,38,18,28.9,14.9,4.9,11.8,41.4,0.6,2.1,26.7,4.5,5.3,84.9,0.7,2.6,3.3,2.3,1.9,0.9,0.2,1.9,23.7,2,0,1.9
72,Reggie Miller,IND,39,66,34,32,32,14.8,4.8,10.9,43.7,1.5,4.5,32.2,3.8,4.1,93.3,0.3,2.1,2.4,2.2,1.2,0.8,0.1,1.7,22.2,0,0,3.5
73,Tayshaun Prince,DET,25,82,54,28,37.1,14.7,5.7,11.7,48.7,0.6,1.7,34.1,2.7,3.3,80.7,1.6,3.7,5.3,3,1.6,0.7,0.9,2,28.6,3,0,5.3
74,Rasheed Wallace,DET,30,79,53,26,34.1,14.5,5.9,13.4,44,0.9,3,31.8,1.7,2.5,69.7,2.2,5.9,8.2,1.8,1.6,0.8,1.5,3,32.2,24,0,4.7
75,Drew Gooden,CLE,23,82,42,40,30.8,14.4,5.7,11.5,49.2,0.1,0.3,17.9,3.1,3.8,81,2.5,6.7,9.2,1.6,1.6,0.9,0.9,2.8,31.8,37,0,1.4
76,Jason Kidd,NJN,32,66,38,28,37.1,14.4,5.2,13,39.8,2,5.4,36,2.2,2.9,74,1.4,6,7.4,8.3,2.5,1.9,0.1,1.7,39.1,26,8,3.5
77,Rafer Alston,TOR,28,80,32,48,34,14.2,5,12.2,41.4,1.7,4.9,35.7,2.4,3.2,74,0.5,3,3.5,6.4,2.1,1.5,0.1,2.7,30.6,10,0,-1
78,Lee Nailon,NOH,30,68,14,54,29.6,14.2,6.1,12.8,47.8,0,0,0,2,2.4,80.6,1.9,2.5,4.4,1.6,1.6,0.5,0.2,2.8,22.5,1,0,-4.8
79,Hedo Turkoglu,ORL,26,67,32,35,26.4,14,4.9,11.7,41.9,1.4,3.7,38,2.8,3.4,83.6,0.9,2.6,3.5,2.3,1.8,0.6,0.3,2.1,22.4,0,0,-0.8
80,Matt Harpring,UTA,29,78,24,54,33.1,14,5.4,11,48.9,0.1,0.6,20.9,3.1,4,77.8,2.5,3.6,6.2,1.8,1.7,0.9,0.2,3.2,25.7,6,0,-4.2
81,Chucky Atkins,LAL,30,82,34,48,35.5,13.6,4.7,11.1,42.6,2.1,5.5,38.7,2,2.5,80.3,0.4,2,2.4,4.4,1.8,0.9,0,2.2,23.9,2,0,-1.9
82,Andre Miller,DEN,29,82,49,33,34.7,13.6,5.2,10.9,47.7,0.1,0.5,15.4,3.1,3.7,83.8,1.2,2.9,4.1,6.9,2.7,1.5,0.1,2.5,31,13,0,2.1
83,Sam Cassell,MIN,35,59,32,27,25.8,13.5,5.4,11.6,46.4,0.5,1.7,26.2,2.3,2.6,86.5,0.4,2.2,2.7,5.1,1.8,0.6,0.2,2.7,25.1,5,0,2.2
84,Ndudi Ebi,MIN,21,2,2,0,27,13.5,5.5,10.5,52.4,0,0.5,0,2.5,4.5,55.6,3,5,8,0.5,1.5,0.5,0.5,3.5,25.4,0,0,7
85,Mike Miller,MEM,25,76,40,36,30,13.4,5.1,10.1,50.5,1.8,4.3,43.3,1.4,2,72,0.5,3.5,3.9,2.9,1.7,0.7,0.3,2.6,23.9,0,0,3
86,Mike Dunleavy,GSW,24,79,33,46,32.5,13.4,5.2,11.5,45.1,1.4,3.5,38.8,1.7,2.2,77.9,1.2,4.3,5.5,2.6,1.7,1,0.3,2.5,26.2,4,0,-0.6
