,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
56,21.0,82.0,45.0,37.0,38.0,17.7,6.3,15.1,41.5,1.2,3.7,31.3,4.0,5.5,73.1,0.7,2.1,2.8,8.6,3.1,1.3,0.1,2.7,34.9,27.0,0.0,0.3
57,28.0,82.0,61.0,21.0,33.0,12.0,4.4,9.4,47.1,1.0,3.2,32.5,2.1,2.8,74.3,1.0,3.4,4.4,3.4,2.5,1.2,0.6,3.8,25.2,1.0,0.0,4.7
58,26.0,64.0,47.0,17.0,32.0,13.8,4.9,11.6,41.9,1.9,4.9,38.9,2.1,2.7,79.1,0.5,2.5,3.0,6.9,1.6,1.0,0.1,1.9,29.4,10.0,0.0,5.0
59,23.0,77.0,43.0,34.0,37.6,14.6,6.1,11.4,53.3,0.1,0.5,20.5,2.4,3.6,66.2,1.7,4.5,6.2,2.5,2.2,1.0,1.1,3.5,30.0,8.0,0.0,3.2
60,31.0,80.0,55.0,25.0,29.6,14.2,5.4,11.2,47.9,0.3,1.1,32.1,3.1,4.5,68.9,1.9,3.2,5.1,2.1,1.8,1.2,1.1,3.1,28.6,6.0,0.0,2.4
61,25.0,82.0,20.0,62.0,41.5,21.5,8.2,18.4,44.9,1.1,3.0,35.7,4.0,5.1,78.4,1.8,3.5,5.3,4.9,2.7,1.6,0.4,2.0,38.6,9.0,1.0,-5.0
62,25.0,4.0,0.0,4.0,36.2,19.8,6.0,15.3,39.3,0.0,0.0,0.0,7.8,11.3,68.9,2.5,2.8,5.3,3.0,2.3,1.0,0.0,2.3,31.3,0.0,0.0,-2.8
63,30.0,36.0,24.0,12.0,28.1,9.3,3.4,8.4,40.3,0.9,2.5,37.8,1.6,2.2,71.8,0.4,3.0,3.4,1.7,1.6,0.7,0.4,2.6,17.6,0.0,0.0,1.2
64,29.0,81.0,60.0,21.0,22.0,10.1,3.6,7.7,46.3,0.0,0.0,50.0,2.9,4.2,69.3,1.8,3.9,5.6,1.0,1.4,0.4,1.3,2.6,21.9,6.0,0.0,0.3
65,27.0,31.0,3.0,28.0,23.2,7.6,2.4,7.3,33.3,0.3,1.5,20.8,2.4,2.8,87.2,0.5,1.6,2.1,1.6,1.1,0.7,0.3,1.7,14.2,0.0,0.0,-6.5
66,30.0,10.0,0.0,10.0,26.4,7.5,3.6,8.4,42.9,0.0,0.2,0.0,0.3,0.8,37.5,1.6,4.9,6.5,0.7,1.3,0.4,0.2,3.3,16.9,1.0,0.0,-8.6
67,24.0,63.0,16.0,47.0,31.7,12.1,4.9,11.9,41.2,0.0,0.0,0.0,2.4,3.9,61.1,3.2,4.2,7.4,1.8,2.1,1.1,3.7,3.2,35.7,14.0,2.0,-5.8
68,34.0,52.0,31.0,21.0,18.7,9.4,3.7,8.3,44.7,1.2,2.8,42.1,0.8,1.0,78.8,0.5,1.4,1.9,1.3,1.0,0.6,0.1,1.6,14.7,0.0,0.0,-0.1
69,27.0,82.0,43.0,39.0,34.7,18.4,7.0,15.6,44.7,1.0,2.6,38.5,3.5,4.1,85.1,0.5,2.8,3.3,2.6,2.4,0.8,0.3,2.5,27.0,1.0,0.0,1.6
70,35.0,72.0,34.0,38.0,32.3,13.1,4.6,11.0,41.6,2.2,5.9,37.1,1.8,2.1,82.5,0.2,1.3,1.4,3.5,1.2,0.6,0.0,1.4,20.9,1.0,0.0,0.4
71,28.0,47.0,26.0,21.0,21.1,11.4,4.3,8.8,49.2,0.4,1.5,30.0,2.3,3.1,73.8,1.6,3.1,4.7,1.3,1.5,0.7,0.3,1.9,20.6,4.0,0.0,0.4
72,35.0,80.0,60.0,20.0,30.8,14.2,5.0,10.4,48.2,0.7,1.6,44.1,3.6,4.0,88.5,0.8,2.6,3.4,4.4,1.7,1.4,0.2,2.2,27.8,1.0,0.0,5.8
73,28.0,78.0,15.0,63.0,37.7,16.5,5.9,13.7,42.8,1.3,3.9,32.6,3.5,4.2,82.9,1.2,4.0,5.2,3.6,2.9,2.4,0.7,2.5,34.7,1.0,0.0,-6.2
74,28.0,5.0,3.0,2.0,14.0,6.0,2.2,6.2,35.5,0.4,2.4,16.7,1.2,1.8,66.7,0.8,0.4,1.2,1.4,0.6,1.4,0.0,2.0,13.1,0.0,0.0,3.0
75,34.0,82.0,58.0,24.0,26.6,11.3,4.1,8.4,48.1,1.3,3.0,44.0,1.9,2.0,93.9,0.5,2.6,3.0,2.3,1.4,1.2,0.5,2.3,21.8,0.0,0.0,5.5
76,28.0,38.0,19.0,19.0,31.4,12.3,5.0,11.1,45.2,1.4,3.3,42.4,0.9,1.2,76.6,1.0,2.3,3.2,3.6,1.3,1.6,0.2,2.6,25.6,0.0,0.0,0.1
77,36.0,64.0,51.0,13.0,29.0,12.0,4.2,8.0,52.8,0.6,1.4,42.9,3.0,3.6,82.7,0.5,2.0,2.6,8.5,2.5,1.4,0.2,2.2,30.0,17.0,0.0,7.8
78,29.0,12.0,0.0,12.0,24.4,7.8,2.8,8.2,33.7,0.3,0.5,50.0,2.1,3.0,69.4,0.7,2.2,2.8,3.5,3.2,1.7,0.1,1.4,18.6,0.0,0.0,-9.2
79,27.0,71.0,30.0,41.0,35.3,12.1,4.5,11.6,38.3,1.2,3.7,32.1,2.0,2.8,74.0,0.9,2.6,3.5,3.2,1.5,1.7,0.1,2.4,25.1,1.0,0.0,-0.2
80,31.0,82.0,61.0,21.0,31.7,10.5,3.4,7.8,44.0,1.5,3.7,41.5,2.2,2.5,86.8,0.9,3.2,4.1,2.7,1.2,1.8,0.2,1.9,24.2,1.0,0.0,5.9
81,30.0,68.0,46.0,22.0,33.3,15.9,6.0,14.1,42.7,1.8,4.6,38.6,2.1,2.8,78.1,0.4,2.1,2.5,3.0,1.7,1.0,0.2,1.5,25.5,0.0,0.0,2.4
82,32.0,82.0,43.0,39.0,26.7,12.9,4.5,11.5,39.3,1.6,4.8,32.7,2.3,2.9,78.7,0.6,2.2,2.8,2.7,1.7,1.0,0.1,2.5,21.6,0.0,0.0,1.1
83,29.0,31.0,10.0,21.0,17.1,7.3,3.3,8.8,37.7,0.2,1.0,16.1,0.5,0.5,100.0,0.2,1.0,1.2,1.9,0.6,0.5,0.0,1.0,12.6,0.0,0.0,-2.5
84,32.0,70.0,46.0,24.0,25.7,13.5,5.6,10.8,51.6,0.0,0.1,0.0,2.4,3.2,73.9,1.6,4.0,5.6,2.0,1.4,1.0,0.7,2.9,26.8,6.0,0.0,3.7
85,27.0,82.0,47.0,35.0,39.0,14.7,5.4,11.7,46.0,2.3,5.5,43.0,1.6,2.1,77.6,0.8,3.6,4.4,2.3,1.3,1.6,0.6,1.3,28.6,0.0,0.0,2.0
86,28.0,77.0,34.0,43.0,21.3,7.7,2.8,6.6,42.8,0.1,0.5,22.0,1.9,2.4,82.4,0.6,2.2,2.8,1.3,1.0,0.8,0.3,2.0,15.3,2.0,0.0,1.4
87,33.0,73.0,40.0,33.0,31.9,16.0,5.6,11.3,49.3,0.4,1.6,26.1,4.4,5.5,79.8,2.0,7.9,10.0,3.0,2.6,0.9,1.1,3.7,35.8,36.0,0.0,4.0
88,22.0,82.0,36.0,46.0,40.1,19.5,6.9,16.0,42.8,1.6,4.5,36.4,4.2,4.8,87.5,1.5,3.4,4.9,4.3,3.2,1.4,0.1,3.0,33.3,8.0,0.0,-0.9
89,30.0,65.0,35.0,30.0,36.1,12.9,4.9,9.9,49.8,0.0,0.1,0.0,3.0,4.5,66.6,6.8,6.8,13.6,1.0,1.5,0.7,0.8,3.6,33.6,39.0,0.0,2.3
90,28.0,80.0,42.0,38.0,27.3,9.7,3.7,8.4,43.3,0.5,1.7,29.2,1.9,2.4,80.4,1.5,3.6,5.1,1.7,1.3,0.6,0.4,2.7,19.8,3.0,0.0,2.4
91,32.0,82.0,50.0,32.0,35.5,13.4,4.9,9.1,53.7,0.0,0.0,0.0,3.7,5.5,67.0,3.4,8.0,11.4,1.0,2.0,0.4,3.4,3.1,37.9,47.0,0.0,5.1
92,27.0,76.0,17.0,59.0,32.9,15.1,5.6,12.3,45.6,0.9,2.8,34.0,3.0,4.3,68.6,2.0,3.5,5.6,2.7,2.5,1.2,0.5,3.2,28.4,8.0,0.0,-6.4
93,29.0,74.0,57.0,17.0,30.2,13.3,5.2,11.4,45.5,0.9,2.4,36.2,2.1,3.0,70.8,1.6,2.8,4.4,4.2,2.1,1.0,0.5,2.0,27.4,5.0,0.0,6.3
94,26.0,64.0,17.0,47.0,28.6,11.4,4.7,11.1,42.2,0.0,0.0,33.3,2.0,2.8,72.2,2.6,5.5,8.1,0.9,1.5,0.8,3.3,3.3,33.5,19.0,1.0,-2.1
95,35.0,74.0,16.0,58.0,29.7,10.2,4.0,8.4,47.1,0.0,0.1,0.0,2.2,3.2,68.3,2.0,5.2,7.3,3.0,2.1,0.6,0.4,3.2,24.5,11.0,0.0,-6.9
96,30.0,57.0,26.0,31.0,36.2,10.0,3.6,7.3,49.8,0.0,0.0,0.0,2.7,4.5,60.8,3.7,6.9,10.7,1.5,1.9,1.2,0.5,4.0,28.4,24.0,0.0,1.1
97,32.0,42.0,22.0,20.0,15.1,6.9,2.5,6.1,39.9,0.9,2.7,33.0,1.1,1.4,80.0,0.3,1.0,1.4,1.2,1.0,0.4,0.1,1.7,10.9,0.0,0.0,1.1
98,29.0,70.0,38.0,32.0,34.5,15.5,6.1,12.6,48.5,0.2,0.9,23.8,3.1,4.0,75.6,2.5,3.2,5.7,2.1,1.8,0.6,0.2,2.8,26.1,8.0,0.0,1.2
99,30.0,64.0,40.0,24.0,28.2,10.4,4.2,8.4,49.8,0.0,0.2,21.4,2.0,2.9,69.1,2.9,5.2,8.1,2.7,1.8,1.3,1.5,2.8,30.7,17.0,0.0,3.3
100,32.0,76.0,38.0,38.0,36.9,12.1,5.2,11.3,45.9,0.0,0.1,0.0,1.8,2.6,67.8,3.0,5.1,8.1,2.3,1.2,1.1,1.0,2.4,30.4,13.0,0.0,-0.4
101,28.0,62.0,40.0,22.0,30.5,10.4,4.0,8.9,44.6,0.7,1.8,38.6,1.7,2.3,75.7,1.0,2.5,3.5,3.0,1.7,1.3,0.3,2.9,22.1,0.0,0.0,2.0
